,0
0.20600000000000002,0.8319358038266718
0.20700000000000002,0.8319358038266718
0.20800000000000002,0.8286147072326807
0.209,0.8286147072326807
0.21,0.8286147072326807
0.211,0.8286147072326807
0.212,0.8286147072326807
0.213,0.8286147072326807
0.214,0.8286147072326807
0.215,0.8286147072326807
0.216,0.8286147072326807
0.217,0.8286147072326807
0.218,0.8253068684916824
0.219,0.8253068684916824
0.22,0.8253068684916824
0.221,0.8253068684916824
0.222,0.8253068684916824
0.223,0.8253068684916824
0.224,0.8253068684916824
0.225,0.8253068684916824
0.226,0.8253068684916824
0.227,0.8253068684916824
0.228,0.8220122346781866
0.229,0.8220122346781866
0.23,0.8220122346781866
0.231,0.8220122346781866
0.232,0.8220122346781866
0.233,0.8220122346781866
0.234,0.8220122346781866
0.23500000000000001,0.8220122346781866
