index,M,T,r,q,sig,bsPrice
GBM-1815,0.919521,2.86019,0.0243599,0.0101169,0.413864,25.0764
GBM-1816,1.17035,0.554607,0.026062,0.0222407,0.493824,21.8444
GBM-1817,0.939888,2.29075,0.0152966,0.000901349,0.484658,27.535
GBM-1818,1.19733,0.0646571,0.0154989,0.000155727,0.159457,16.5638
GBM-1819,0.841988,0.634191,0.0150969,0.00600391,0.315913,4.13855
GBM-1820,1.02693,0.624946,0.0178624,0.00540305,0.484698,16.6288
GBM-1821,0.999236,1.19089,0.0148686,0.00870316,0.410753,17.8198
GBM-1822,1.09234,1.01536,0.0207473,0.0144657,0.135474,10.7539
GBM-1823,0.944507,2.50526,0.0221464,0.00768229,0.443382,26.1716
GBM-1824,0.946065,0.827263,0.0170119,0.0140109,0.21117,5.37247
GBM-1825,1.00268,0.203705,0.0161911,0.0214717,0.121766,2.2614
GBM-1826,0.950619,1.94696,0.0228889,0.0061326,0.358792,18.823
GBM-1827,0.808111,2.41663,0.0180066,0.00980058,0.326236,12.7368
GBM-1828,0.846661,1.76022,0.0116892,0.0150218,0.378358,13.1606
GBM-1829,1.12079,1.93462,0.0178344,0.0201223,0.143607,13.3076
GBM-1830,0.846774,0.955616,0.0177164,0.013616,0.106515,0.28444
GBM-1831,1.10724,1.9198,0.01523,0.000425768,0.288257,21.7242
GBM-1832,1.05675,2.6467,0.0114594,0.0115447,0.378311,25.4989
GBM-1833,0.821215,1.26541,0.0158558,0.0288109,0.430043,11.0802
GBM-1834,0.873361,1.33848,0.01406,0.0240972,0.0693069,0.103435
GBM-1835,0.837145,2.22239,0.0251893,0.00968823,0.352276,15.0808
GBM-1836,1.06339,2.44219,0.0258018,0.000690359,0.392959,28.8925
GBM-1837,0.852908,0.213996,0.0107664,0.00115901,0.191384,0.145817
GBM-1838,1.00688,1.25975,0.0209634,0.00272884,0.403487,19.0915
GBM-1839,0.935263,1.18237,0.0187757,0.0185376,0.228786,7.00245
GBM-1840,0.987555,1.8124,0.0252887,0.0258785,0.495832,24.4687
GBM-1841,0.936264,1.46555,0.010184,0.0187084,0.0789619,1.12219
GBM-1842,1.07747,1.60754,0.0216995,0.0205658,0.353458,20.3176
GBM-1843,1.12645,1.7618,0.0287437,0.00857837,0.450247,29.2287
GBM-1844,1.10834,1.53223,0.0120941,0.0229492,0.465223,25.1897
GBM-1845,0.853092,2.32481,0.0161851,0.0182515,0.09417,0.944688
GBM-1846,1.07991,0.863185,0.0273578,0.0179894,0.168579,10.7502
GBM-1847,1.12179,2.63289,0.0215121,0.00472367,0.211261,21.0186
GBM-1848,1.16805,1.45325,0.010744,0.00656582,0.227063,19.0323
GBM-1849,0.844764,2.62733,0.0183504,0.00768141,0.223075,8.83646
GBM-1850,0.860145,0.42183,0.0290049,0.0223578,0.313346,2.95597
GBM-1851,1.07111,1.09202,0.0220437,0.0280893,0.306736,15.1181
GBM-1852,1.12192,1.329,0.0104129,0.028959,0.419139,22.035
GBM-1853,1.17668,0.761818,0.0143542,0.00232081,0.138295,16.1471
GBM-1854,1.09456,2.22485,0.0211994,0.0113118,0.152119,14.518
GBM-1855,0.812076,1.1953,0.0293591,0.011829,0.499453,14.5725
GBM-1856,1.0323,2.49986,0.0158126,0.0176297,0.392813,24.3274
GBM-1857,1.07805,0.417188,0.0281777,0.0185695,0.166555,8.93041
GBM-1858,0.876506,1.75177,0.0230413,0.00875695,0.471586,20.2995
GBM-1859,1.10995,1.35613,0.0138706,0.0204389,0.288592,17.3057
GBM-1860,0.86023,2.11168,0.0236102,0.0102517,0.20817,7.16436
GBM-1861,0.993794,2.24831,0.0131175,0.0234599,0.0509835,1.73212
GBM-1862,1.09332,2.06022,0.0100697,0.0183701,0.29506,19.1575
GBM-1863,1.09151,1.0963,0.0218686,0.0221695,0.0871601,8.9244
GBM-1864,1.15571,2.53325,0.0222381,0.00817488,0.428626,32.8731
GBM-1865,0.91125,1.32163,0.0235125,0.0072811,0.101256,1.96778
GBM-1866,0.945273,0.0501925,0.0126305,0.0159461,0.289299,0.705211
GBM-1867,1.02096,0.200784,0.0284208,0.0263208,0.40637,8.23004
GBM-1868,0.81514,0.385699,0.0152361,0.0049946,0.114728,0.00571975
GBM-1869,1.00624,2.19161,0.0112908,0.0207349,0.219447,11.7359
GBM-1870,1.06711,0.685305,0.0298703,0.0289658,0.332457,13.792
GBM-1871,0.977953,0.393734,0.0166778,0.0204905,0.25753,5.34033
GBM-1872,0.80052,2.54681,0.0235096,0.0233123,0.192915,4.43878
GBM-1873,1.08275,1.25994,0.0221657,0.0123155,0.296977,17.2505
GBM-1874,0.93325,2.54069,0.0167281,0.029981,0.202398,8.12687
GBM-1875,1.1537,1.48741,0.0230968,0.0266363,0.306829,20.412
GBM-1876,0.908528,0.244118,0.0103838,0.0147685,0.416514,4.43902
GBM-1877,1.15089,1.75267,0.0246032,0.0238953,0.46244,28.4315
GBM-1878,0.864432,0.833002,0.0209565,0.00894775,0.42285,10.0619
GBM-1879,1.01909,1.74429,0.0240495,0.0161473,0.153735,9.39851
GBM-1880,0.956387,0.0346513,0.0289624,0.000988738,0.465854,1.74387
GBM-1881,1.07112,2.61376,0.015462,0.0289835,0.277446,17.7461
GBM-1882,1.1463,2.02477,0.0133838,0.0181968,0.264988,20.0428
GBM-1883,1.03038,0.466194,0.0264168,0.0269207,0.451226,13.4126
GBM-1884,0.937223,2.26334,0.0196769,0.0294494,0.283662,12.6122
GBM-1885,0.809825,2.46038,0.0266043,0.0116833,0.228585,7.62258
GBM-1886,1.18631,2.95146,0.0244015,0.00823176,0.36683,32.5975
GBM-1887,0.90541,0.152276,0.0259892,0.0166746,0.346319,1.9366
GBM-1888,0.867797,1.9706,0.0152497,0.0172808,0.172464,4.21333
GBM-1889,1.15571,0.0877327,0.0244911,0.0185594,0.306743,13.6927
GBM-1890,0.821823,2.83407,0.0128416,0.0284898,0.48003,21.7025
GBM-1891,0.85932,1.4831,0.0193938,0.00314901,0.131547,2.05348
GBM-1892,1.06848,2.51201,0.0199025,0.0182303,0.158525,12.8315
GBM-1893,0.917224,1.33909,0.0224955,0.0171339,0.0506419,0.242628
GBM-1894,1.19028,1.31351,0.0124856,0.0223992,0.407053,24.7621
GBM-1895,1.00774,2.48931,0.0123378,0.0172338,0.478431,28.0278
GBM-1896,0.975715,0.258695,0.025791,0.0279599,0.0706447,0.516223
GBM-1897,0.822909,1.74363,0.010171,0.0202592,0.433637,14.5049
GBM-1898,0.963381,2.59758,0.0199312,0.0203932,0.482328,27.424
GBM-1899,1.18548,2.5344,0.0109011,0.00689235,0.196948,21.125
GBM-1900,0.939265,1.75568,0.0224688,0.00493553,0.0721999,2.4492
GBM-1901,0.856015,1.8639,0.0240638,0.0143614,0.387875,15.3703
GBM-1902,0.909637,2.02421,0.0100951,0.0279804,0.310023,11.7969
GBM-1903,1.02725,1.13399,0.0110607,0.0104305,0.284289,13.1215
GBM-1904,0.970914,1.12901,0.0117771,0.0107978,0.185385,6.52019
GBM-1905,0.993245,2.03226,0.0130208,0.0167694,0.405152,21.4293
GBM-1906,1.00629,1.98706,0.0223204,0.0139081,0.400128,22.4785
GBM-1907,1.15024,1.17439,0.0237364,0.0117462,0.322007,20.9283
GBM-1908,0.859815,0.793018,0.0148219,0.0012792,0.343946,6.88665
GBM-1909,1.02498,0.122503,0.0255981,0.0259947,0.10344,2.95117
GBM-1910,1.16339,1.6814,0.0281893,0.0117731,0.3541,25.5755
GBM-1911,1.11342,2.96513,0.0177328,0.00718191,0.296563,25.4517
GBM-1912,1.14013,1.84197,0.0232318,0.009694,0.456979,29.9654
GBM-1913,0.884128,2.51028,0.0253686,0.0299297,0.335788,14.825
GBM-1914,1.14558,1.38974,0.0247891,0.000138271,0.258706,20.6689
GBM-1915,1.1721,2.47387,0.020477,0.0109756,0.464307,34.2856
GBM-1916,1.16804,0.367807,0.0277982,0.0221186,0.302705,16.2687
GBM-1917,0.900382,2.45161,0.0225629,0.00751722,0.227926,11.1945
GBM-1918,0.938729,0.18763,0.012551,0.0209237,0.127883,0.33999
GBM-1919,1.13271,1.4475,0.025098,0.0171562,0.271949,19.0775
GBM-1920,1.01758,0.547857,0.0287649,0.00175651,0.074343,4.1018
GBM-1921,0.873604,1.99925,0.0295798,0.0258227,0.389293,16.1052
GBM-1922,0.888562,0.511484,0.0277663,0.0270923,0.499848,9.49033
GBM-1923,0.931035,2.33739,0.0272674,0.0192025,0.45326,24.1037
GBM-1924,0.929206,2.72728,0.0114556,0.00577155,0.236072,12.9028
GBM-1925,1.03891,1.09161,0.0154903,0.0226976,0.486153,20.7548
GBM-1926,1.13379,0.0253007,0.019864,0.00713444,0.477233,11.9705
GBM-1927,1.07218,1.50197,0.0166167,0.0112943,0.260944,16.048
GBM-1928,1.00269,1.50963,0.0161333,0.00462428,0.35536,17.9944
GBM-1929,1.13913,1.74288,0.0258869,0.0172448,0.0947869,13.8103
GBM-1930,1.09645,2.86065,0.0159034,0.0282491,0.0983994,8.83462
GBM-1931,1.06497,0.718418,0.0249881,0.00753626,0.0789588,7.64704
GBM-1932,1.03215,1.57913,0.0139587,0.0217461,0.440865,21.8218
GBM-1933,0.952761,1.84923,0.0174082,0.0141141,0.144396,5.85871
GBM-1934,1.03131,2.87448,0.0276264,0.0100102,0.0794981,9.7046
GBM-1935,1.08897,2.66236,0.0275601,0.0200052,0.300545,22.5795
GBM-1936,1.03612,0.758291,0.0186197,0.0159416,0.498996,18.5602
GBM-1937,1.00417,2.05827,0.0119725,0.017003,0.331026,17.8821
GBM-1938,0.81044,2.00265,0.0106023,0.00510075,0.323687,10.8134
GBM-1939,1.16859,1.2993,0.0175147,0.0296967,0.0983083,13.0765
GBM-1940,0.904997,2.17331,0.0188188,0.0275865,0.43423,19.6129
GBM-1941,1.01985,1.35404,0.01933,0.0137862,0.281942,13.9754
GBM-1942,1.11716,0.827777,0.0147143,0.0206636,0.25688,14.4943
GBM-1943,1.09999,2.74182,0.0228593,0.00870267,0.287407,24.0048
GBM-1944,1.15316,2.31802,0.0146759,0.0112571,0.312062,24.6478
GBM-1945,1.08707,2.86784,0.022186,0.0152035,0.266415,21.3709
GBM-1946,1.13823,1.12891,0.0206314,0.00240555,0.350728,21.7433
GBM-1947,1.13673,1.36143,0.0288644,0.0210012,0.296688,19.7682
GBM-1948,1.01434,2.75899,0.0293418,0.0270424,0.0768317,5.67973
GBM-1949,0.853563,1.80599,0.0270971,0.0158549,0.251335,7.94484
GBM-1950,1.06188,2.0862,0.0246959,0.0211465,0.492072,28.9349
GBM-1951,1.16056,2.64032,0.0157874,0.0124344,0.124306,16.3611
GBM-1952,0.903304,1.74891,0.0220882,0.00956467,0.25156,9.83069
GBM-1953,0.810152,1.6269,0.0128067,0.017326,0.312285,7.84967
GBM-1954,0.816905,0.927027,0.010214,0.0254236,0.116555,0.125432
GBM-1955,1.10189,2.41551,0.011949,0.0244776,0.130679,10.8155
GBM-1956,0.911224,1.05853,0.024246,0.0190965,0.27386,7.54532
GBM-1957,1.16551,0.0108117,0.0142428,0.0122724,0.233214,14.2009
GBM-1958,1.13921,1.73546,0.0132364,0.0204013,0.264202,18.668
GBM-1959,0.876539,2.93628,0.0204863,0.00494378,0.350995,20.1535
GBM-1960,1.13826,2.05519,0.0255631,0.01415,0.178881,17.674
GBM-1961,1.0188,0.869524,0.0185097,0.00459846,0.145884,6.96082
GBM-1962,0.863759,2.98973,0.0175912,0.00874846,0.130351,4.36758
GBM-1963,0.814334,0.78508,0.0242075,0.00773975,0.0802505,0.00806777
GBM-1964,1.12947,1.49104,0.010276,0.0285231,0.32356,19.0564
GBM-1965,0.864139,2.83545,0.028008,0.000502094,0.180293,9.26656
GBM-1966,0.926931,0.962643,0.0261179,0.0200473,0.126216,2.24105
GBM-1967,1.03791,1.73668,0.0104411,0.0196317,0.204618,11.3044
GBM-1968,1.11963,0.698332,0.0114986,0.00933942,0.163359,12.1844
GBM-1969,1.13094,1.44613,0.0111638,0.029108,0.177979,13.0139
GBM-1970,1.14751,0.899618,0.0149751,0.0249148,0.0900462,12.0302
GBM-1971,1.07269,2.4824,0.0176083,0.0197918,0.0548426,7.01458
GBM-1972,1.14681,0.702818,0.0147616,0.0135253,0.207186,14.7034
GBM-1973,1.08957,2.75033,0.017581,0.0207375,0.423194,28.6011
GBM-1974,0.947878,1.39815,0.028485,0.0265192,0.46699,19.0852
GBM-1975,0.840707,1.18189,0.0245845,0.00155477,0.06544,0.0556798
GBM-1976,1.06615,2.37415,0.0124699,0.0177924,0.462189,28.4697
GBM-1977,1.12452,1.18749,0.0127691,2.5673e-05,0.222281,16.5563
GBM-1978,1.00714,1.90952,0.0222148,0.0218525,0.27185,14.6105
GBM-1979,1.14684,0.610711,0.0207091,0.0117592,0.443701,20.3995
GBM-1980,0.912975,2.75162,0.0223909,0.0207633,0.181715,8.03634
GBM-1981,0.964557,0.843252,0.010897,0.0236179,0.279352,8.06449
GBM-1982,0.823184,0.344337,0.0144939,0.0130109,0.11551,0.00456861
GBM-1983,1.09691,1.02747,0.0198012,0.0121625,0.42065,21.0219
GBM-1984,0.939939,2.66889,0.020607,0.0178423,0.420439,23.7476
GBM-1985,0.986811,0.960543,0.0105393,0.0065825,0.381065,14.3216
GBM-1986,1.17124,1.11325,0.0231779,0.00145814,0.454956,26.8846
GBM-1987,1.06005,1.34586,0.0211948,0.0170833,0.340738,18.0509
GBM-1988,1.09171,0.19364,0.0269303,0.010248,0.173978,9.0983
GBM-1989,0.971397,1.97945,0.0283026,0.0182531,0.492447,25.8155
GBM-1990,1.16545,1.27984,0.0147071,0.0194467,0.365456,22.4677
GBM-1991,1.1756,1.9565,0.013365,0.0231894,0.256008,20.0046
GBM-1992,0.863756,2.58603,0.0238693,0.00104349,0.319657,16.8954
GBM-1993,0.952923,1.32343,0.0248643,0.00732484,0.329452,13.8519
GBM-1994,0.886434,2.22426,0.0144425,0.00661221,0.220948,8.89739
GBM-1995,1.08455,0.294156,0.0244291,0.0143119,0.0600269,8.04077
GBM-1996,0.99781,1.394,0.0228021,0.0077215,0.429908,20.5709
GBM-1997,0.855773,1.33892,0.0232506,0.0039485,0.0872006,0.500339
GBM-1998,0.960248,0.717092,0.0162256,0.0197437,0.0749192,0.94562
GBM-1999,1.08222,0.820947,0.0283993,0.0255279,0.317179,15.0029
GBM-2000,1.13315,0.0952117,0.0236096,0.0235912,0.302711,12.091
GBM-2001,0.994571,1.18559,0.0205095,0.0197128,0.393469,16.3882
GBM-2002,0.868745,1.48001,0.0126057,0.0206526,0.175205,3.0924
GBM-2003,0.903508,0.489936,0.0101853,0.0222889,0.497045,9.50155
GBM-2004,1.05347,0.162928,0.0210714,0.026557,0.111423,5.24643
GBM-2005,0.83381,1.79132,0.0203848,0.0271072,0.219749,4.69729
GBM-2006,1.17101,0.354698,0.0169627,0.00227177,0.374485,17.8085
GBM-2007,0.860166,0.0976371,0.0157318,0.0211472,0.226308,0.0443263
GBM-2008,1.16247,0.320266,0.0139014,0.0160261,0.211136,14.3988
GBM-2009,0.90249,1.06303,0.0291598,0.0292078,0.143864,2.18865
GBM-2010,1.09385,0.00661623,0.0235316,0.00787754,0.166716,8.58912
GBM-2011,0.883537,0.0507485,0.0150045,0.0149575,0.353388,0.218237
GBM-2012,0.883545,1.05574,0.0118272,0.0149489,0.444875,13.0465
GBM-2013,0.85817,0.485562,0.0194131,0.0095678,0.140338,0.296454
GBM-2014,0.807055,1.33206,0.0135156,0.00973879,0.498191,15.0254
GBM-2015,0.974711,2.7701,0.0161906,0.00829757,0.308384,19.6476
GBM-2016,0.944768,2.36969,0.0114951,0.0121343,0.0557544,1.26903
GBM-2017,1.16841,1.45392,0.0256388,0.000753545,0.12255,18.0473
GBM-2018,1.06043,2.23622,0.0170423,0.000686389,0.291985,21.3911
GBM-2019,1.1427,0.579933,0.0274755,0.0159815,0.226006,14.8096
GBM-2020,1.055,1.57962,0.0292318,0.0144047,0.489006,26.5142
GBM-2021,0.950055,2.74695,0.0191449,0.0273718,0.318854,16.7082
GBM-2022,0.961758,1.94605,0.0203685,0.00487186,0.220791,11.743
GBM-2023,1.14427,0.942737,0.0127996,0.0182548,0.476591,23.5126
GBM-2024,1.08333,1.94996,0.0199154,0.0119504,0.0584922,9.3578
GBM-2025,0.870351,2.95271,0.0243099,0.00902864,0.114075,4.0827
GBM-2026,0.853996,2.37385,0.018642,0.0091199,0.172296,5.39323
GBM-2027,1.05521,1.21291,0.025478,0.0286087,0.290553,14.4762
GBM-2028,0.950044,1.44452,0.0111853,0.00177501,0.237752,9.73519
GBM-2029,0.92617,1.02638,0.0175634,0.028285,0.13162,2.07342
GBM-2030,0.96363,0.923574,0.0227635,0.0242213,0.322488,10.4575
GBM-2031,0.851334,2.76806,0.0266416,0.0238469,0.415911,20.3252
GBM-2032,0.942781,0.927603,0.0147683,0.000130511,0.102584,2.12858
GBM-2033,1.17956,0.0193571,0.0130056,0.0216395,0.127172,15.2018
GBM-2034,0.922109,2.16908,0.0244318,0.0221891,0.0818074,1.90532
GBM-2035,1.1883,1.14994,0.0203475,0.0144694,0.164574,17.4217
GBM-2036,0.885448,0.960652,0.0227995,0.00144632,0.175175,3.09009
GBM-2037,0.863328,2.69105,0.0271225,0.0259564,0.345972,15.9298
GBM-2038,0.888159,0.614135,0.0248693,0.0112861,0.427002,8.92016
GBM-2039,1.04976,1.49998,0.0128771,0.0236477,0.159638,9.03627
GBM-2040,1.1371,0.436799,0.0284313,0.0230371,0.125485,12.3295
GBM-2041,0.913008,0.883968,0.0191758,0.0267077,0.300945,7.21762
GBM-2042,1.00185,0.322185,0.0291524,0.0208991,0.20794,4.89047
GBM-2043,1.14596,0.637705,0.0293492,0.00249754,0.143132,14.6351
GBM-2044,0.950627,2.87153,0.0162194,0.0143364,0.3738,22.2434
GBM-2045,1.02609,1.75654,0.0183318,0.0192401,0.477697,24.9002
GBM-2046,1.19689,1.37199,0.0138285,0.00885871,0.474158,29.2515
GBM-2047,1.13908,0.761152,0.0196617,0.00653776,0.351743,19.0012
GBM-2048,1.10928,0.624434,0.0204128,0.0117561,0.125156,10.8951
GBM-2049,1.18991,2.90437,0.0205821,0.0207838,0.410045,31.8571
GBM-2050,0.915279,2.22926,0.0160774,0.0050645,0.186269,8.32582
GBM-2051,0.999132,0.0783098,0.0272833,0.0294671,0.24786,2.71003
GBM-2052,1.14101,1.30942,0.0128667,0.000765068,0.327575,21.7395
GBM-2053,0.848713,2.45323,0.0249607,0.00629184,0.45429,23.2952
GBM-2054,1.11864,1.41033,0.0146263,0.0212012,0.326188,19.4096
GBM-2055,0.923868,1.84807,0.028105,0.0157101,0.184479,7.41072
GBM-2056,1.05168,2.3865,0.0178087,0.0299814,0.308043,18.3232
GBM-2057,1.04931,1.16639,0.0256569,0.00920097,0.360249,18.2012
GBM-2058,0.987469,2.95523,0.0274695,0.0142525,0.376832,25.304
GBM-2059,1.12406,0.157265,0.0257952,0.0145552,0.199954,11.3879
GBM-2060,1.05166,0.600788,0.027342,0.0109457,0.1199,7.20188
GBM-2061,1.06751,0.343228,0.0101202,0.000193693,0.280879,10.2039
GBM-2062,0.824719,1.85356,0.0236165,0.0194166,0.418132,15.2211
GBM-2063,0.932961,2.0219,0.0113223,0.00643223,0.296383,14.1192
GBM-2064,0.849949,2.16063,0.0163529,0.02012,0.456441,19.4344
GBM-2065,0.854758,2.39574,0.0147165,0.0150013,0.16252,4.22219
GBM-2066,0.995878,0.94431,0.0292944,0.00043743,0.0783956,4.28189
GBM-2067,1.01773,1.02136,0.014214,0.00783087,0.101006,5.28131
GBM-2068,0.81109,2.93836,0.01471,0.000675759,0.312295,14.9486
GBM-2069,0.974719,0.781536,0.026612,0.0257776,0.264697,8.0578
GBM-2070,1.08251,1.11569,0.0169338,0.0248111,0.492289,22.7572
GBM-2071,0.800515,1.95353,0.0201273,0.0135364,0.298378,8.78657
GBM-2072,1.05209,0.944367,0.0157081,0.0232635,0.49603,20.3963
GBM-2073,1.09339,1.43347,0.0112672,0.0274253,0.317804,17.3275
GBM-2074,0.879182,0.0664322,0.0146625,0.00325112,0.224571,0.0291686
GBM-2075,0.811611,2.55066,0.0159204,0.00615799,0.459628,22.0279
GBM-2076,0.865026,0.69829,0.0266899,0.0101677,0.185362,1.76747
GBM-2077,1.05466,1.01979,0.0182605,0.0213784,0.446644,19.5226
GBM-2078,0.881552,1.79705,0.0236287,0.0252038,0.0511672,0.0815156
GBM-2079,1.03677,1.29931,0.0192155,0.00838493,0.281652,14.8756
GBM-2080,1.18193,2.31952,0.0230292,0.00319045,0.229036,24.1697
GBM-2081,1.11375,2.47157,0.0220015,0.0131352,0.403195,28.9529
GBM-2082,0.981381,0.5705,0.0291603,0.0119399,0.0987014,2.54055
GBM-2083,1.17778,0.667845,0.0109112,0.0228714,0.206497,15.6737
GBM-2084,0.802338,0.668522,0.0268378,0.0199722,0.0796118,0.000867061
GBM-2085,1.18667,0.28229,0.0131089,0.0165204,0.182818,15.7196
GBM-2086,1.03799,1.92512,0.0124934,0.00992591,0.421081,24.1639
GBM-2087,0.98162,0.672341,0.015355,0.00274346,0.48925,15.4484
GBM-2088,1.00014,0.963884,0.0254379,0.00732782,0.179278,7.80296
GBM-2089,0.960163,1.94481,0.0217422,0.0168557,0.0969838,3.90904
GBM-2090,1.11697,1.4069,0.0100407,0.00608303,0.462016,26.1131
GBM-2091,0.942654,2.91591,0.0149974,0.0168076,0.137121,6.34763
GBM-2092,1.14808,1.30906,0.0131014,0.00735114,0.208196,17.0399
GBM-2093,0.972688,2.69782,0.0264725,0.0199834,0.209164,12.5096
GBM-2094,1.03303,1.63163,0.0235807,0.0160689,0.21221,12.5429
GBM-2095,0.947483,2.54315,0.0132047,0.00108276,0.318978,19.11
GBM-2096,0.813345,2.17704,0.0166216,0.0135637,0.420909,16.8521
GBM-2097,0.80924,0.68693,0.0121537,0.0270629,0.292473,2.58373
GBM-2098,0.832025,1.85586,0.021949,0.0104909,0.198775,4.83055
GBM-2099,1.03713,1.97124,0.0273863,0.0166476,0.283328,17.6923
GBM-2100,1.02179,0.0217153,0.0175866,0.0123689,0.251823,2.77824
GBM-2101,1.15159,2.3225,0.0175101,0.00303681,0.194527,20.522
GBM-2102,1.16515,1.82848,0.0296398,0.00976546,0.471434,31.8589
GBM-2103,0.829737,1.45207,0.0182274,0.0279842,0.347399,8.97236
GBM-2104,1.01371,1.60422,0.0282699,0.00428478,0.265422,15.5947
GBM-2105,1.11012,0.991723,0.0288187,0.00859255,0.423634,22.0629
GBM-2106,1.13011,1.7493,0.0265882,0.0256291,0.168343,14.7564
GBM-2107,1.18585,1.81193,0.0128442,0.00380097,0.242392,22.0926
GBM-2108,1.04558,2.47551,0.0246764,0.00974851,0.248438,18.666
GBM-2109,0.973158,2.04261,0.0142783,0.00690201,0.380811,20.6794
GBM-2110,0.972196,0.80062,0.0277482,0.0205443,0.325466,10.4356
GBM-2111,0.942822,0.0591585,0.0185792,0.0170309,0.184338,0.20504
GBM-2112,0.954068,1.67568,0.0264464,0.023152,0.297427,13.0436
GBM-2113,0.846109,1.13681,0.0274727,0.00439351,0.224592,4.37822
GBM-2114,1.12766,1.92754,0.0239628,0.0181586,0.0612679,12.088
GBM-2115,1.13764,2.28726,0.0231716,0.0223639,0.0617872,11.9544
GBM-2116,0.89576,1.73312,0.0102488,0.00131242,0.167532,5.07509
GBM-2117,1.0704,1.49601,0.0274983,0.0215219,0.167544,11.725
GBM-2118,0.856373,1.897,0.0172937,0.00861397,0.424272,17.6407
GBM-2119,1.05214,1.09548,0.0100411,0.0170825,0.139051,7.88641
GBM-2120,1.18191,2.44068,0.0165882,0.0108065,0.112902,17.3822
GBM-2121,0.929782,0.344412,0.0229572,0.0165109,0.486385,8.41447
GBM-2122,0.998501,1.60198,0.0178861,0.0018231,0.212019,11.7513
GBM-2123,0.890886,2.39982,0.0120836,0.0275569,0.179823,5.13447
GBM-2124,1.09859,2.80951,0.0177344,0.0178639,0.486019,33.1614
GBM-2125,1.13156,1.39169,0.024161,0.00487168,0.175102,16.4563
GBM-2126,0.968379,2.53707,0.0114363,0.000573672,0.225705,14.0496
GBM-2127,0.959404,2.2137,0.0296699,0.0188222,0.430889,23.4961
GBM-2128,1.11491,2.61286,0.0142301,0.0222949,0.203801,16.198
GBM-2129,0.925612,2.76762,0.0176173,0.00478948,0.151801,8.15898
GBM-2130,0.854254,1.83013,0.0144251,0.0189166,0.359388,12.6566
GBM-2131,0.925833,0.573591,0.0159922,0.0154076,0.421291,9.48491
GBM-2132,0.928102,1.61753,0.0224207,0.0225763,0.499443,21.3813
GBM-2133,0.875573,1.18352,0.0282034,0.00806409,0.39653,12.7427
GBM-2134,1.00139,2.54821,0.0209367,0.0193328,0.436629,26.1331
GBM-2135,0.863902,0.012088,0.0174403,0.0131755,0.221045,3.6575e-10
GBM-2136,0.933881,1.07476,0.0256768,0.0293022,0.0831125,0.970178
GBM-2137,1.08611,1.28525,0.0212977,0.00115846,0.0527523,10.3431
GBM-2138,1.11809,1.58243,0.0240605,0.0232258,0.452784,25.9934
GBM-2139,1.00837,0.727428,0.0158872,0.00904374,0.322262,11.4568
GBM-2140,1.07289,0.946795,0.028049,0.0135683,0.230913,13.0383
GBM-2141,1.15498,1.39453,0.0223788,0.0153785,0.303776,21.0747
GBM-2142,0.903758,1.94432,0.0262647,0.000546517,0.129595,5.05051
GBM-2143,1.12085,1.12631,0.02909,0.0096173,0.468764,25.148
GBM-2144,0.947762,1.72041,0.025181,0.0112125,0.337494,16.0045
GBM-2145,1.03231,0.569278,0.0120929,0.0234686,0.457926,14.6336
GBM-2146,1.02915,0.619443,0.0204431,0.0262197,0.108095,4.66176
GBM-2147,1.10683,0.455689,0.0278636,0.0208589,0.420987,16.2671
GBM-2148,1.18586,2.90621,0.0275849,0.0141444,0.126745,19.7838
GBM-2149,0.931265,1.29589,0.0151803,0.00787266,0.286222,10.3003
GBM-2150,1.04626,1.01934,0.0271316,0.0165541,0.131433,8.1809
GBM-2151,0.972615,2.53327,0.0251603,0.0285439,0.156719,7.78166
GBM-2152,1.12697,2.01537,0.0184935,0.0155593,0.427686,27.9169
GBM-2153,0.859113,2.39209,0.0246362,0.0154736,0.42072,20.1045
GBM-2154,1.19165,0.426277,0.0278789,0.0169563,0.279218,17.7618
GBM-2155,0.809853,0.0193851,0.0161493,0.0157876,0.386953,6.22437e-05
GBM-2156,1.13381,2.46028,0.0159577,0.0175113,0.225346,18.8919
GBM-2157,1.18391,2.26482,0.0254619,0.0132219,0.213179,21.9477
GBM-2158,1.02396,0.132193,0.0127731,0.0123732,0.449843,7.66851
GBM-2159,1.0713,1.07171,0.0228887,0.000251082,0.349075,18.5897
GBM-2160,0.842783,1.85996,0.0216206,0.0119721,0.1158,1.46908
GBM-2161,1.0222,0.636825,0.0105483,0.0232106,0.207304,7.15304
GBM-2162,0.848018,1.84063,0.0135553,0.0204271,0.462175,17.6501
GBM-2163,0.910948,2.26771,0.0297554,0.0129062,0.261115,12.967
GBM-2164,1.16128,0.618955,0.0256178,0.0134494,0.414026,20.4463
GBM-2165,1.18875,0.298172,0.0149716,0.0254406,0.350909,17.2914
GBM-2166,1.04222,1.30715,0.0188317,0.02079,0.161786,9.03995
GBM-2167,0.840292,2.87691,0.0193859,0.0143747,0.121206,2.66896
GBM-2168,0.979929,0.533647,0.0143833,0.0162472,0.149916,3.39227
GBM-2169,1.09796,1.28973,0.0236875,0.00986479,0.311638,18.9736
GBM-2170,1.15308,1.96261,0.0190118,0.000997894,0.0741835,16.4255
GBM-2171,0.890885,2.26957,0.0182353,0.0159299,0.269156,11.3696
GBM-2172,0.889787,1.85594,0.0110775,0.0150589,0.264829,9.27284
