Contract Name,Type,Put/Call,Status,Maturity (Day),Maturity (BDay),Maturity (Year),Contract Size,Strike,Bid,Bid Volume,Ask,Ask Volume,Last Price,Open Price,High Price,Low Price,Close Price,Open Interest,Volume,Turnover,Implied Vol,Premium,Delta,Gamma,Vega,Theta,Rho
US.QQQ220413C355000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,355.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,5605,0,0.0,136.602,4.899,0.008,0.006,0.0,-1.743,0.0
US.QQQ220413C356000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,356.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,2343,0,0.0,150.182,5.194,0.007,0.005,0.0,-1.77,0.0
US.QQQ220413C357000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,357.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,1464,0,0.0,163.589,5.49,0.007,0.004,0.0,-1.795,0.0
US.QQQ220413C358000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,358.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,4458,0,0.0,176.838,5.785,0.006,0.004,0.0,-1.817,0.0
US.QQQ220413C359000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,359.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,1541,0,0.0,189.943,6.081,0.006,0.003,0.0,-1.837,0.0
US.QQQ220413C360000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,360.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,13100,0,0.0,202.915,6.376,0.005,0.003,0.0,-1.856,0.0
US.QQQ220413C361000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,361.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,4258,0,0.0,215.762,6.671,0.005,0.002,0.0,-1.874,0.0
US.QQQ220413C362000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,362.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,4313,0,0.0,228.494,6.967,0.005,0.002,0.0,-1.89,0.0
US.QQQ220413C363000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,363.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,1639,0,0.0,241.116,7.262,0.005,0.002,0.0,-1.905,0.0
US.QQQ220413C364000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,364.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,1509,0,0.0,253.635,7.558,0.004,0.002,0.0,-1.919,0.0
US.QQQ220413C365000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,365.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,2898,0,0.0,266.056,7.853,0.004,0.001,0.0,-1.933,0.0
US.QQQ220413C366000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,366.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,994,0,0.0,278.383,8.149,0.004,0.001,0.0,-1.945,0.0
US.QQQ220413C367000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,367.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,670,0,0.0,290.621,8.444,0.004,0.001,0.0,-1.957,0.0
